fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19140608_kantorowicz_kantorowicz.xml|2 Bl.|1 S.|lt|ms|ms;2 Bl., 1 S.||lt
d19142010_kantorowicz_kantorowicz.xml|1 Bl.|4 S.|lt|ms|ms;1 Bl., 4 S.||lt
d19150731_kantorowicz_kantorowicz.xml|1 Bl.|4 S.|lt|ms|ms;1 Bl., 4 S.||lt
d19151012_kantorowicz_kantorowicz.xml|4 Bl.|7 S.|lt|ms|ms;4 Bl., 7 S.||lt
d19160708_kantorowicz_kantorowicz.xml|4 Bl.|8 S.|lt|ms|ms;4 Bl., 8 S.||lt
d19160717_kantorowicz_kantorowicz.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19160722_kantorowicz_kantorowicz.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19180103_kantorowicz_kantorowicz.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19180113_kantorowicz_kantorowicz.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19180503_kantorowicz_kantorowicz.xml|XX Bl.|8 S.|lt|ms|ms;XX Bl., 8 S.||lt
d19180822_kantorowicz_kantorowicz.xml|XX Bl.|9 S.|lt|ms|ms;XX Bl., 9 S.||lt
d19180828_kantorowicz_kantorowicz.xml|XX Bl.|3 S.|lt|ms|ms;XX Bl., 3 S.||lt
d19180902_kantorowicz_kantorowicz.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19180906_kantorowicz_kantorowicz.xml|2 Bl.|1 S.|lt|ms|ms;2 Bl., 1 S.||lt
d19181008_kantorowicz_kantorowicz.xml|2 Bl.|3 S.|lt|ms|ms;2 Bl., 3 S.||lt
d19181108_kantorowicz_kantorowicz.xml|2 Bl.|1 S.|lt|ms|ms;2 Bl., 1 S.||lt
d19181227_kantorowicz_radbruch.xml|4 Bl.|4 S.|lt|ms|ms;4 Bl., 4 S.||lt
d19191012_kantorowicz_kahler.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19191216_kantorowicz_kahler.xml|2 Bl.|3 S.|lt|ms|ms;2 Bl., 3 S.||lt
d19200119_kantorowicz_kahler.xml|3 Bl.|3 S.|lt|ms|ms;3 Bl., 3 S.||lt
d19200305_kantorowicz_kahler.xml|2 Bl.|4 S.|lt|ms|ms; 2 Bl., 4 S.||lt
d19200417_kantorowicz_kahler.xml|3 Bl.|5 S.|lt|ms|ms; 3 Bl., 5 S.||lt
d19200428_kantorowicz_kahler.xml|4 Bl.|8 S.|lt|ms|ms; 4 Bl., 8 S.||lt
d19201013_kantorowicz_kahler.xml|2 Bl.|4 S.|lt|ms|ms; 2 Bl., 4 S.||lt
d19201019_kantorowicz_kahler.xml|2 Bl.|4 S.|lt|ms|ms; 2 Bl., 4 S.||lt
d19201106_kantorowicz_kahler.xml|2 Bl.|3 S.|lt|ms|ms; 2 Bl., 3 S.||lt
d19201108_kantorowicz_kahler.xml|1 Bl.|2 S.|lt|ms|ms; 1 Bl., 2 S.||lt
d19201120_kantorowicz_kahler.xml|2 Bl.|4 S.|lt|ms|ms; 2 Bl., 4 S.||lt
d19210113_kantorowicz_kahler.xml|1 Bl.|2 S.|lt|ms|ms; 1 Bl., 2 S.||lt
d19210122_kantorowicz_kahler.xml|2 Bl.|3 S.|lt|ms|ms; 2 Bl., 3 S.||lt
d19220826_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|ms|1 Bl., 2 S.|lt
d19220922_kantorowicz_becker.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19221111_kantorowicz_gundolf.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19240413_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|pc|1 Bl., 1 S.|ms
d19240430_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19240515_kantorowicz_stein.xml|3 Bl.|6 S.|lt|ms|ms|3 Bl., 6 S.|lt
d19240602_kantorowicz_stein.xml|2 Bl.|2 S.|lt|ms|ms|2 Bl., 2 S.|lt
d19240925_kantorowicz_george.xml|2 Bl.|2 S.|lt|ms|ms;2 Bl., 2 S.||lt
d19241031_kantorowicz_george.xml|3 Bl.|3 S.|lt|ms|ms;3 Bl., 3 S.||lt
d19250222_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|pc|1 Bl., 2 S.|ms
d19250707_kantorowicz_stein.xml|2 Bl.|3 S.|lt|ms|lt|2 Bl., 3 S.|ms
d19250730_kantorowicz_kahler.xml|1 Bl.|1 S.|pc|ms|ms;1 Bl., 1 S.||pc
d192507xxb_kantorowicz_george.xml|1 Bl.|1 S.|pc|ms|ms;1 Bl., 1 S.||pc
d192507xx_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19250804_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19250817_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19250904_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|pc|1 Bl., 1 S.|ms
d19250907_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19251015_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
